Literal,Source,Part of the text,Entity type,ES Time elapsed,# ES Hits,DBpedia % (in first 100),Hits
Sinti,AmsterdamviaWesterborkpadroute,in text,PER,4,5532,56.0,"[u'http://dbpedia.org/resource/Sinti', u'http://sv.dbpedia.org/resource/Sinti', u'http://dbpedia.org/resource/Sinti', u'http://de.dbpedia.org/resource/Sinti', u'http://dbpedia.org/resource/Sinti', u'http://nl.dbpedia.org/resource/Sinti', u'http://dbpedia.org/resource/Category:Sinti', u'http://dbpedia.org/resource/Sinti', u'http://dbpedia.org/resource/Sinti', u'http://dbpedia.org/resource/Sinti', u'http://lodlaundromat.org/.well-known/genid/cba26b97885972801e98415392116d0e#genid105xxhttpx3Ax2Fx2Fzibsunx2Elivejournalx2Ecomx2Fdatax2Ffoaf', u'http://lodlaundromat.org/.well-known/genid/2be91bb89e1272dc4b6c654529d7f6e9#genid56xxhttpx3Ax2Fx2Fapix2Ehi5x2Ecomx2Frestx2Fprofilex2Ffoafx2F102589040', u'http://dbpedia.org/resource/Sinti', u'http://lodlaundromat.org/.well-known/genid/3cc565f3ac3eb0ebcfd539d0a7f8fc68#node16527xxhttpx3Ax2Fx2Fblinalex78yax2Elivejournalx2Ecomx2Fdatax2Ffoaf', u'http://lodlaundromat.org/.well-known/genid/c2846196ecf77c15e466cd3700e08c64#node3340xxhttpx3Ax2Fx2Fzibsunx2Elivejournalx2Ecomx2Fdatax2Ffoaf', u'http://lodlaundromat.org/.well-known/genid/c926d22eb49788382ffc87a5942f7fb3#httpx3Ax2Fx2Fzibsunx2Elivejournalx2Ecomx2Fdatax2Ffoafxxbnode68', u'http://dbpedia.org/resource/Sinti', u'http://foaf.qdos.com/flickr/people/82441612@N00#me', u'http://lodlaundromat.org/.well-known/genid/db1a866cb3c00745e180d76296eedeac#genid78httpx3Ax2Fx2Fzibsunx2Elivejournalx2Ecomx2Fdatax2Ffoaf', u'http://lodlaundromat.org/.well-known/genid/c0f1366f5e5deae327b47ba6e116bbc1#node38264xxhttpx3Ax2Fx2Flordakrylx2Elivejournalx2Ecomx2Fdatax2Ffoaf']"
NS-station Amsterdam Centraal,AmsterdamviaWesterborkpadroute,in text,LOC,221,9275920,89.0,"[u'http://wikidata.dbpedia.org/resource/Q50719', u'http://nl.dbpedia.org/resource/Ringspoorbaan', u'http://dbpedia.org/resource/Ringspoorbaan', u'http://nl.dbpedia.org/resource/Ringspoorbaan', u'http://nl.dbpedia.org/resource/Ringspoorbaan', u'http://dbpedia.org/resource/Ringspoorbaan', u'http://dbpedia.org/resource/Ringspoorbaan', u'http://dbpedia.org/resource/Ringspoorbaan', u'http://dbpedia.org/resource/Ringspoorbaan', u'http://nl.dbpedia.org/resource/Ringspoorbaan', u'http://dbpedia.org/resource/Ringspoorbaan', u'http://dbpedia.org/resource/Naturalis', u'http://dbpedia.org/resource/Naturalis', u'http://dbpedia.org/resource/Amsterdam_Centraal_railway_station', u'http://nl.dbpedia.org/resource/Amsterdam_Centraal_Station', u'http://nl.dbpedia.org/resource/Amsterdam_centraal_station', u'http://nl.dbpedia.org/resource/Centraal_Station_Amsterdam', u'http://dbpedia.org/resource/Amsterdam_Centraal_railway_station', u'http://nl.dbpedia.org/resource/Amsterdam_Centraal_Station', u'http://dbpedia.org/resource/Amsterdam_centraal_railway_station']"
Stationsplein,AmsterdamviaWesterborkpadroute,in text,LOC,3,2899,76.0,"[u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Eindhoven_(stad)', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Baarn__681__1', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Cuijk__2296__1', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Haarlem__2515__1', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Hengelo__4__1', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Waddinxveen__1044__1', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Eindhoven_(stad)__Stationsplein__1', u'http://nl.dbpedia.org/resource/Kamperbrug', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Deerlijk', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Haarlem__2317__1', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Weesp__1371__1', u'http://nl.dbpedia.org/resource/Stationsplein_(Rotterdam)', u'http://nl.dbpedia.org/resource/Stationsplein', u'http://www.kwark.org/gfx/2006/2006Week38/Small/400/dscn6503.Stationsplein.jpg.jpg', u'http://www.kwark.org/gfx/2006/2006Week38/Small/400/dscn6503.Stationsplein.jpg.jpg', u'http://www.kwark.org/gfx/2006/2006Week38/Small/400/dscn6503.Stationsplein.jpg.jpg', u'http://purl.org/collections/nl/am/t-2473', u'http://fr.dbpedia.org/resource/Gare_de_Hasselt', u'http://fr.dbpedia.org/resource/Gare_de_Ninove', u'http://fr.dbpedia.org/resource/Gare_de_Tongres']"
Fietsenstalling,AmsterdamviaWesterborkpadroute,in text,LOC,2,822,37.0,"[u'http://nl.dbpedia.org/resource/Station_Temse', u'http://nl.dbpedia.org/resource/Fietsenstalling', u'http://www.bloggen.be/brakelsblogje/archief.php?ID=233107', u'http://dbpedia.org/resource/Bicycle_parking', u'http://standaarden.overheid.nl/owms/terms/fietsenstalling', u'http://dbpedia.org/resource/Bicycle_parking_station', u'http://dbpedia.org/resource/Bicycle_parking', u'http://linkedgeodata.org/triplify/node706750904', u'http://linkedgeodata.org/triplify/node667722022', u'http://linkedgeodata.org/triplify/node203093891', u'http://linkedgeodata.org/triplify/node1481104360', u'http://linkedgeodata.org/triplify/node1481104369', u'http://vocab.getty.edu/aat/term/1000468243-nl', u'http://standaarden.overheid.nl/owms/terms/fietsenstalling', u'http://nl.dbpedia.org/resource/Station_Aalst-Kerrebroek', u'http://nl.dbpedia.org/resource/Station_Buggenhout', u'http://nl.dbpedia.org/resource/Station_Temse', u'http://www.bloggen.be/brakelsblogje/archief.php?ID=233107', u'http://wikidata.dbpedia.org/resource/Q1151556', u'http://linkedgeodata.org/triplify/node1481104359']"
Singel,AmsterdamviaWesterborkpadroute,in text,LOC,8,180705,99.0,"[u'http://dbpedia.org/resource/Anggun_discography', u'http://dbpedia.org/resource/Bad_Girl_Good_Girl', u'http://no.dbpedia.org/resource/Boten_Anna', u""http://no.dbpedia.org/resource/Knockin'_on_Heaven's_Door"", u'http://dbpedia.org/resource/A_Past_and_Future_Secret', u'http://dbpedia.org/resource/And_Then_There_Was_Silence', u'http://dbpedia.org/resource/Mr._Sandman', u'http://dbpedia.org/resource/To_nie_ja!', u'http://dbpedia.org/resource/Who_I_Am_(Blog_27_song)', u'http://nl.dbpedia.org/resource/Singel_(Sneek)', u'http://et.dbpedia.org/resource/Ansambel_%22Mahavok%22_(1984)', u'http://no.dbpedia.org/resource/Tire_Me', u'http://dbpedia.org/resource/Ryan_Singel', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Lille', u""http://dbpedia.org/resource/Royce_da_5'9%22"", u'http://dbpedia.org/resource/Tire_Me', u'http://dbpedia.org/resource/Boten_Anna', u'http://dbpedia.org/resource/Hero_(Charlotte_Perrelli_song)', u'http://dbpedia.org/resource/Hold_On_Be_Strong', u'http://dbpedia.org/resource/Category:Singles']"
Brouwersgracht,AmsterdamviaWesterborkpadroute,in text,LOC,2,1750,66.0,"[u'http://nl.dbpedia.org/resource/Brouwersgracht_(Amsterdam)', u'http://dbpedia.org/resource/Brouwersgracht_RandstadRail_station', u'http://dbpedia.org/resource/Brouwersgracht_RandstadRail_station', u'http://purl.org/collections/nl/am/t-2765', u'http://dbpedia.org/resource/MCH_Westeinde_RandstadRail_station', u'http://dbpedia.org/resource/Brouwersgracht_RandstadRail_station', u'http://wikidata.dbpedia.org/resource/Q2575400', u'http://dbpedia.org/resource/Brouwersgracht_RandstadRail_station', u'http://dbpedia.org/resource/Grote_Markt_RandstadRail_station', u'http://nl.dbpedia.org/resource/Marnixkade_(Amsterdam)', u'http://dbpedia.org/resource/MCH_Westeinde_RandstadRail_station', u'http://dbpedia.org/resource/MCH_Westeinde_RandstadRail_station', u'http://dbpedia.org/resource/Brouwersgracht_RandstadRail_station', u'http://nl.dbpedia.org/resource/Brouwersgracht_(Amsterdam)', u'http://nl.dbpedia.org/resource/Prinsengracht', u'http://nl.dbpedia.org/resource/Keizersgracht_(Amsterdam)', u'http://dbpedia.org/resource/Grote_Markt_RandstadRail_station', u'http://www.wikidata.org/entity/Q2575400', u'http://www.wikidata.org/entity/Q2575400', u'http://www.wikidata.org/entity/Q18974947']"
Melkmeisjesbrug,AmsterdamviaWesterborkpadroute,in text ,LOC,1,4,50.0,"[u'http://bag.kadaster.nl/id/openbareruimte/0363300011950598', u'http://bag.kadaster.nl/id/openbareruimte/0363300011950598', u'http://dbpedia.org/resource/Amsterdammertje', u'http://dbpedia.org/resource/Amsterdammertje']"
Herengracht,AmsterdamviaWesterborkpadroute,in text,LOC,3,8422,67.0,"[u'http://nl.dbpedia.org/resource/Langegracht_(Maarssen)', u'http://nl.dbpedia.org/resource/Fluwelen_Burgwal', u'http://dbpedia.org/resource/Museum_of_Bags_and_Purses', u'http://nl.dbpedia.org/resource/Herengracht_(Maarssen)', u'http://dbpedia.org/resource/Herengracht', u'http://nl.dbpedia.org/resource/Herengracht_(Maarssen)', u'http://nl.dbpedia.org/resource/Herengracht', u'http://dbpedia.org/resource/Canals_of_Amsterdam%23Herengracht', u'http://dbpedia.org/resource/Herengracht', u'http://purl.org/collections/nl/am/t-1730', u'http://dbpedia.org/resource/Herengracht', u'http://wikidata.dbpedia.org/resource/Q2199652', u'http://wikidata.dbpedia.org/resource/Q19249631', u'http://wikidata.dbpedia.org/resource/Q19249642', u'http://wikidata.dbpedia.org/resource/Q2982366', u'http://wikidata.dbpedia.org/resource/Q2623129', u'http://wikidata.dbpedia.org/resource/Q2588107', u'http://wikidata.dbpedia.org/resource/Q19249627', u'http://dbpedia.org/resource/Herengracht', u'http://fr.dbpedia.org/resource/Mus\xe9e_des_sacs_Hendrikje']"
Herenstraat,AmsterdamviaWesterborkpadroute,in text,LOC,5,3088,45.0,"[u'http://nl.dbpedia.org/resource/Herenstraat_(Utrecht)', u'http://nl.dbpedia.org/resource/Herenstraat', u'http://nl.dbpedia.org/resource/Herenstraat', u'http://wikidata.dbpedia.org/resource/Q2005688', u'http://wikidata.dbpedia.org/resource/Q19249734', u'http://wikidata.dbpedia.org/resource/Q19249742', u'http://wikidata.dbpedia.org/resource/Q19249753', u'http://wikidata.dbpedia.org/resource/Q19249774', u'http://wikidata.dbpedia.org/resource/Q19249780', u'http://wikidata.dbpedia.org/resource/Q19249793', u'http://wikidata.dbpedia.org/resource/Q19249839', u'http://wikidata.dbpedia.org/resource/Q19249769', u'http://wikidata.dbpedia.org/resource/Q19249784', u'http://wikidata.dbpedia.org/resource/Q19249807', u'http://wikidata.dbpedia.org/resource/Q19249817', u'http://wikidata.dbpedia.org/resource/Q15876260', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Rhenen', u'http://nl.dbpedia.org/resource/Herenstraat_(Utrecht)', u'http://www.wikidata.org/entity/Q3131036', u'http://www.wikidata.org/entity/Q19249736']"
Keizersgracht,AmsterdamviaWesterborkpadroute,in text,LOC,3,8277,50.0,"[u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Amsterdam_Centrum_(Grachtengordel-West)/Deel4', u'http://nl.dbpedia.org/resource/Astoria_(Amsterdam)', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Leeuwarden__253__1', u'http://nl.dbpedia.org/resource/Keizersgracht_(Amsterdam)', u'http://nl.dbpedia.org/resource/Keizersgracht', u'http://www.livejournal.com/interests.bml?int=keizersgracht', u'http://purl.org/collections/nl/am/p-29411', u'http://wikidata.dbpedia.org/resource/Q19293229', u'http://wikidata.dbpedia.org/resource/Q2622759', u'http://wikidata.dbpedia.org/resource/Q2622759', u'http://wikidata.dbpedia.org/resource/Q19293231', u'http://de.dbpedia.org/resource/Keizersgracht', u'http://wikidata.dbpedia.org/resource/Q13742596', u'http://dbpedia.org/resource/Keizersgracht', u'http://nl.dbpedia.org/resource/Keizersgracht_(Amsterdam)', u'http://nl.dbpedia.org/resource/Astoria_(Amsterdam)', u'http://lodlaundromat.org/.well-known/genid/eb708c5a670cbcd738b29887fddeda9c#TT000928162BNode0', u'http://lobid.org/resource/TT000928162', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Leeuwarden', u'http://www.wikidata.org/entity/Q2622759']"
Leliegracht,AmsterdamviaWesterborkpadroute,in text,LOC,3,490,88.0,"[u'http://nl.dbpedia.org/resource/Leliegracht', u'http://nl.dbpedia.org/resource/Leliegracht', u'http://purl.org/collections/nl/am/t-27144', u'http://wikidata.dbpedia.org/resource/Q2400867', u'http://nl.dbpedia.org/resource/Leliegracht', u'http://nl.dbpedia.org/resource/Leliegracht', u'http://www.wikidata.org/entity/Q2400867', u'http://www.wikidata.org/entity/Q2400867', u'http://bag.kadaster.nl/id/openbareruimte/0363300000004161', u'http://nl.dbpedia.org/resource/Leliegracht', u'http://wikidata.dbpedia.org/resource/Q2400867', u'http://wikidata.dbpedia.org/resource/Q1842315', u'http://bag.kadaster.nl/id/openbareruimte/0363300000004161', u'http://bag.kadaster.nl/id/openbareruimte/0363300011950707', u'http://linkedgeodata.org/triplify/node2429444887', u'http://wikidata.dbpedia.org/resource/Q2400867', u'http://nl.dbpedia.org/resource/Leliegracht', u'http://www.wikidata.org/entity/Q2400867', u'http://www.wikidata.org/entity/Q1842315', u'http://linkedgeodata.org/triplify/node2061794034']"
Prinsengracht,AmsterdamviaWesterborkpadroute,in text,LOC,2,6926,65.0,"[u'http://de.dbpedia.org/resource/Prinsengracht', u'http://dbpedia.org/resource/Canals_of_Amsterdam%23Prinsengracht', u'http://dbpedia.org/resource/Prinsengracht', u'http://wikidata.dbpedia.org/resource/Q19430692', u'http://wikidata.dbpedia.org/resource/Q19430695', u'http://wikidata.dbpedia.org/resource/Q841583', u'http://wikidata.dbpedia.org/resource/Q841583', u'http://nl.dbpedia.org/resource/Woudvaartbrug', u'http://nl.dbpedia.org/resource/Leliegracht', u'http://nl.dbpedia.org/resource/Looiersgracht', u'http://nl.dbpedia.org/resource/Bloemgracht_(Amsterdam)', u'http://dbpedia.org/resource/Spiegelgracht', u'http://nl.dbpedia.org/resource/Prinsengracht', u'http://nl.dbpedia.org/resource/Rozengracht', u'http://nl.dbpedia.org/resource/Spiegelgracht', u'http://nl.dbpedia.org/resource/Kees_de_jongenbrug', u'http://nl.dbpedia.org/resource/Prinsengracht', u'http://www.last.fm/music/Justin+King/_/Prinsengracht', u'http://lobid.org/resource/HT016441573', u'http://nl.dbpedia.org/resource/Elandsgracht']"
Anne Frankhuis,AmsterdamviaWesterborkpadroute,in text,MON,53,1114984,79.0,"[u'http://dbpedia.org/resource/Anne_frankhuis', u'http://dbpedia.org/resource/Anne_Frank_House', u'http://nl.dbpedia.org/resource/Anne_Frankhuis', u'http://nl.dbpedia.org/resource/Anne_Frankhuis', u'http://dbpedia.org/resource/Anne_Frank_House', u'http://dbpedia.org/resource/Anne_Frank_House', u'http://dbpedia.org/resource/Anne_Frank_House', u'http://dbpedia.org/resource/Anne_frankhuis', u'http://pl.dbpedia.org/resource/Dom_Anny_Frank', u'http://ko.dbpedia.org/resource/\uc548\ub124_\ud504\ub791\ud06c\uc758_\uc9d1', u'http://dbpedia.org/resource/Anne_Frank_House', u'http://d-nb.info/gnd/2147169-1', u'http://dbpedia.org/resource/Anne_Frank_House', u'http://www.wikidata.org/entity/Q165366', u'http://pl.dbpedia.org/resource/Dom_Anny_Frank', u'http://dbpedia.org/resource/Anne_frankhuis', u'http://sws.geonames.org/6618987/', u'http://dbpedia.org/resource/Anne_frankhuis', u'http://dbpedia.org/resource/Anne_Frank_House', u'http://dbpedia.org/resource/Anne_Frank_House']"
Westermarkt,AmsterdamviaWesterborkpadroute,in text,LOC,2,248,79.0,"[u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__1499__1', u'http://nl.dbpedia.org/resource/Westermarkt', u'http://purl.org/collections/nl/am/t-2619', u'http://wikidata.dbpedia.org/resource/Q2512530', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__1500__1', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam', u'http://www.wikidata.org/entity/Q2512530', u'http://linkedgeodata.org/triplify/node2680111409', u'http://linkedgeodata.org/triplify/node724232573', u'http://linkedgeodata.org/triplify/node638324676', u'http://bag.kadaster.nl/id/openbareruimte/0363300000004853', u'http://bag.kadaster.nl/id/openbareruimte/0855300000002029', u'http://nl.dbpedia.org/resource/Westermarkt', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__1500__1', u'http://wikidata.dbpedia.org/resource/Q2512530', u'http://wikidata.dbpedia.org/resource/Q3013843', u'http://wikidata.dbpedia.org/resource/Q3013843', u'http://www.wikidata.org/entity/Q2512530', u'http://linkedgeodata.org/triplify/way119302812', u'http://bag.kadaster.nl/id/openbareruimte/0363300000004853']"
Reestraat,AmsterdamviaWesterborkpadroute,in text,LOC,2,211,88.0,"[u'http://wikidata.dbpedia.org/resource/Q19463449', u'http://wikidata.dbpedia.org/resource/Q19463453', u'http://wikidata.dbpedia.org/resource/Q19463456', u'http://wikidata.dbpedia.org/resource/Q19463459', u'http://bag.kadaster.nl/id/openbareruimte/1669300000200332', u'http://linkedgeodata.org/triplify/node43347070', u'http://bag.kadaster.nl/id/openbareruimte/0202300000200936', u'http://bag.kadaster.nl/id/openbareruimte/0344300000001581', u'http://bag.kadaster.nl/id/openbareruimte/0363300000004624', u'http://bag.kadaster.nl/id/openbareruimte/0402300001473354', u'http://bag.kadaster.nl/id/openbareruimte/0917301312000693', u'http://bag.kadaster.nl/id/openbareruimte/0241300000000221', u'http://bag.kadaster.nl/id/openbareruimte/0268300000001531', u'http://wikidata.dbpedia.org/resource/Q19463448', u'http://wikidata.dbpedia.org/resource/Q19463451', u'http://wikidata.dbpedia.org/resource/Q19463455', u'http://wikidata.dbpedia.org/resource/Q19463458', u'http://wikidata.dbpedia.org/resource/Q19463457', u'http://wikidata.dbpedia.org/resource/Q19463454', u'http://bag.kadaster.nl/id/openbareruimte/0856300000329312']"
Gouden Eeuw,AmsterdamviaWesterborkpadroute,in text,TIME,28,318633,49.0,"[u'http://de.dbpedia.org/resource/Gouden_Eeuw', u'http://www.mpii.de/yago/resource/Dutch_Golden_Age', u'http://dbpedia.org/resource/Golden_Age_%28disambiguation%29', u'http://dbpedia.org/resource/Dutch_Golden_Age', u'http://rdf.freebase.com/ns/m.01k12m', u'http://dbpedia.org/resource/Dutch_Golden_Age', u'http://wikidata.dbpedia.org/resource/Q661566', u'http://wikidata.dbpedia.org/resource/Q661566', u'http://dbpedia.org/class/yago/DutchGoldenAge', u'http://www.livejournal.com/interests.bml?int=gouden%20eeuw', u'http://lobid.org/resource/HT013352343', u'http://dbpedia.org/resource/Golden_Age_(disambiguation)', u'http://mlode.nlp2rdf.org/resource/jrc-names/Gouden_Eeuw', u'http://www.wikidata.org/entity/Q661566', u'http://www.wikidata.org/entity/Q238526', u'http://www.wikidata.org/entity/Q335878', u'http://www.wikidata.org/entity/Q228713', u'http://lod.hebis.de/resource/10648229', u'http://no.dbpedia.org/resource/Gouden_Eeuw', u'http://vocab.getty.edu/aat/term/1000487251-nl']"
Wolvenstraat ,AmsterdamviaWesterborkpadroute,in text,LOC,2,263,83.0,"[u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Kortrijk/deel2', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Meulebeke', u'http://fr.dbpedia.org/resource/Liste_des_monuments_historiques_de_Wervik', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Wervik', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Kortrijk/P-Z', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Wervik', u'http://fr.dbpedia.org/resource/Liste_des_monuments_historiques_de_Courtrai/Partie_4', u'http://fr.dbpedia.org/resource/Liste_des_monuments_historiques_de_Wervik', u'http://sws.geonames.org/2783466/', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Wervik', u'http://www.wikidata.org/entity/Q18948842', u'http://linkedgeodata.org/triplify/way298991333', u'http://linkedgeodata.org/triplify/node2086254284', u'http://bag.kadaster.nl/id/openbareruimte/0307300000306616', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Kortrijk/deel2', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Meulebeke', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Meulebeke', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Wervik', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Wervik', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Wervik']"
Koningsplein,AmsterdamviaWesterborkpadroute,in text,LOC,2,994,51.0,"[u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Lier', u'http://nl.dbpedia.org/resource/Koningsplein', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Hamme', u'http://dbpedia.org/resource/Koningsplein', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Lier', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Hamme', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Koningshooikt', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Maastricht__933__1', u'http://nl.dbpedia.org/resource/Koningsplein', u'http://dbpedia.org/resource/Koningsplein', u'http://dbpedia.org/resource/Koningsplein', u'http://sws.geonames.org/3513573/', u'http://lodlaundromat.org/.well-known/genid/e50384ae27132be62474f52ee64d6e48#httpx3Ax2Fx2Frdfx2Efreebasex2Ecomx2Frdfx2Fmx2F05p66nfxxbnode2', u'http://fr.dbpedia.org/resource/Liste_des_monuments_historiques_de_Hamme', u'http://wikidata.dbpedia.org/resource/Q19307381', u'http://wikidata.dbpedia.org/resource/Q682020', u'http://wikidata.dbpedia.org/resource/Q2669719', u'http://wikidata.dbpedia.org/resource/Q19307387', u'http://fr.dbpedia.org/resource/Liste_des_monuments_historiques_de_Hamme', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Koningshooikt']"
Vijzelstraat ,AmsterdamviaWesterborkpadroute,in text,LOC,3,605,62.0,"[u'http://nl.dbpedia.org/resource/De_Bazel_(Amsterdam)', u'http://nl.dbpedia.org/resource/Ketelstraat_(Arnhem)', u'http://nl.dbpedia.org/resource/Vijzelstraat', u'http://nl.dbpedia.org/resource/Vijzelstraat', u'http://dbpedia.org/resource/De_Bazel', u'http://wikidata.dbpedia.org/resource/Q3102156', u'http://wikidata.dbpedia.org/resource/Q19634763', u'http://wikidata.dbpedia.org/resource/Q19634762', u'http://wikidata.dbpedia.org/resource/Q19634766', u'http://wikidata.dbpedia.org/resource/Q19634770', u'http://nl.dbpedia.org/resource/Vijzelstraat', u'http://nl.dbpedia.org/resource/De_Bazel_(Amsterdam)', u'http://nl.dbpedia.org/resource/Ketelstraat_(Arnhem)', u'http://www.wikidata.org/entity/Q3102156', u'http://dbpedia.org/resource/De_Bazel', u'http://bag.kadaster.nl/id/openbareruimte/0080300000335775', u'http://bag.kadaster.nl/id/openbareruimte/0363300000005292', u'http://bag.kadaster.nl/id/openbareruimte/0400300000000460', u'http://nl.dbpedia.org/resource/Vijzelstraat', u'http://nl.dbpedia.org/resource/De_Bazel_(Amsterdam)']"
Thorbeckeplein,AmsterdamviaWesterborkpadroute,in text,LOC,2,236,53.0,"[u'http://nl.dbpedia.org/resource/Wijken_en_buurten_in_Amersfoort', u'http://wikidata.dbpedia.org/resource/Q19566294', u'http://wikidata.dbpedia.org/resource/Q19566297', u'http://wikidata.dbpedia.org/resource/Q3104952', u'http://www.wikidata.org/entity/Q3104952', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Burgwallen-Nieuwe_Zijde', u'http://musicbrainz.org/recording/54200d9f-4283-4508-8852-811669de7dec#_', u'http://musicbrainz.org/recording/899aa69e-6c12-4003-b25a-72f171d524d5#_', u'http://musicbrainz.org/recording/dbf177ff-1ca6-468c-b7e6-4d00c5eac617#_', u'http://musicbrainz.org/track/11859686#_', u'http://musicbrainz.org/track/1292138#_', u'http://linkedgeodata.org/triplify/node45381752', u'http://bag.kadaster.nl/id/openbareruimte/0307300000306928', u'http://bag.kadaster.nl/id/openbareruimte/0363300000005114', u'http://bag.kadaster.nl/id/openbareruimte/0484300000013120', u'http://bag.kadaster.nl/id/openbareruimte/0297300000000287', u'http://musicbrainz.org/recording/333e0180-60b2-4303-ad89-c891b8d571a5#_', u'http://musicbrainz.org/recording/54200d9f-4283-4508-8852-811669de7dec#_', u'http://musicbrainz.org/recording/6b6b26df-d9fc-4d67-9230-5bfdcb53d9ff#_', u'http://nl.dbpedia.org/resource/Thorbeckeplein']"
Rembrandtplein,AmsterdamviaWesterborkpadroute,in text,LOC,3,706,52.0,"[u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Amsterdam_Centrum_(Burgwallen-Nieuwe_Zijde)/Deel8', u'http://dbpedia.org/resource/Rembrandtplein', u'http://dbpedia.org/resource/Rembrandtplein', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_aan_het_Rembrandtplein_(Amsterdam)__Amsterdam__1', u'http://impressive.net/people/gerald/2003/07/06/06/01-07-09.jpg', u'http://impressive.net/people/gerald/2003/07/06/06/01-07-02.jpg', u'http://lodlaundromat.org/.well-known/genid/e50384ae27132be62474f52ee64d6e48#httpx3Ax2Fx2Frdfx2Efreebasex2Ecomx2Frdfx2Fmx2F027x7887gxxbnode2', u'http://dbpedia.org/resource/Rembrandtplein', u'http://wikidata.dbpedia.org/resource/Q1579642', u'http://wikidata.dbpedia.org/resource/Q19464652', u'http://wikidata.dbpedia.org/resource/Q19464655', u'http://wikidata.dbpedia.org/resource/Q19464660', u'http://wikidata.dbpedia.org/resource/Q19464663', u'http://wikidata.dbpedia.org/resource/Q3459317', u'http://wikidata.dbpedia.org/resource/Q1579642', u'http://nl.dbpedia.org/resource/Rembrandtplein_(Amsterdam)', u'http://nl.dbpedia.org/resource/Utrechtsestraat_(Amsterdam)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_aan_het_Rembrandtplein_(Amsterdam)', u'http://dbpedia.org/resource/Rembrandtplein', u'http://dbpedia.org/class/yago/Rembrandtplein']"
